,y_test,prediction
4931,1426.1436,3175.6060209523853
4148,1201.769,973.1757712732917
7423,1836.2764,2013.869440796021
4836,2410.8618,2080.636452626683
944,1549.9824,3253.4421237415763
154,3169.208,3266.1894258397883
7230,2036.6822,1861.7862468688863
3472,824.9262,2000.869857109819
2294,378.1744,545.6702084905661
2588,1573.9512,2013.9208841040438
2087,2474.7786,2000.869857109819
7318,101.8674,967.5658475961551
6126,894.8352,2000.869857109819
4164,1491.392,2981.662372854288
6572,1390.1904,2000.869857109819
693,1707.777,1840.8607881149526
1270,1853.5872,3153.8374274785238
5893,2404.8696,3253.4421237415763
1624,5528.1374,3266.1894258397883
5223,12117.56,5186.221265551836
2972,4767.128,3266.1894258397883
6814,185.7582,460.06151886792406
1555,187.0898,547.8384224899601
8275,772.328,1979.0922531304855
3760,1324.2762,2380.091104974269
3161,2036.6822,1979.0922531304855
5225,6574.775,5186.221265551836
1570,5285.1204,3266.1894258397883
4285,773.6596,967.5658475961551
1835,6615.3888,3266.1894258397883
4266,1022.6688,1256.4489262759892
2740,2797.6916,3266.1894258397883
4312,3099.9648,3253.4421237415763
2379,1720.4272,3266.1894258397883
821,3338.3212,2138.8582352888884
5862,1061.951,556.851904605263
5108,4567.388,5140.932766580974
7149,6474.2392,5186.221265551836
2060,1145.176,2000.869857109819
1571,2804.3496,1979.0922531304855
3879,945.436,1979.0922531304855
1889,1255.033,969.4715427872856
528,5206.556,3266.1894258397883
7060,5842.395,3266.1894258397883
5845,3379.6008,3253.4421237415763
5860,477.3786,380.95621954023
4861,113.8518,283.7996977941177
1824,992.042,550.7229907216496
1098,5259.82,3266.1894258397883
5530,1704.448,1979.0922531304855
1921,117.8466,283.7996977941177
8517,3608.636,3253.4421237415763
4908,729.051,967.5658475961551
2006,2422.1804,2013.9208841040438
98,4363.6532,2981.662372854288
7140,753.0198,967.5658475961551
1003,713.0718,967.5658475961551
3162,683.1108,967.5658475961551
4376,195.7452,265.9871
3930,3159.8868,3266.1894258397883
5973,1348.245,1861.7862468688863
4276,1803.6522,1817.193536059056
6789,5932.278,3253.4421237415763
8116,71.9064,143.91417695473257
2030,2270.378,1979.0922531304855
3484,303.6048,371.0826212121212
233,2603.278,3151.416199286486
4511,5773.1518,3253.4421237415763
852,2691.8294,3266.1894258397883
1364,476.047,967.5658475961551
257,193.082,1979.0922531304855
5809,2460.7968,1979.0922531304855
3810,121.8414,283.7996977941177
379,4274.436,3266.1894258397883
7273,412.796,274.2532885572137
6787,4625.9784,3266.1894258397883
2645,3006.087,2033.6401632027244
1589,4950.8888,3266.1894258397883
5198,529.311,3253.4421237415763
3909,2184.4898,2013.9208841040438
8236,510.0028,574.2454767932487
888,2620.5888,3207.6786669527855
5175,981.3892,967.5658475961551
1580,319.584,967.5658475961551
4109,2297.01,3151.416199286486
4238,1018.674,967.5658475961551
140,1402.1748,3151.416199286486
6770,3942.8676,3253.4421237415763
4098,1182.4608,3253.4421237415763
4394,937.4464,3266.1894258397883
543,1398.18,2013.9208841040438
3412,1168.479,1016.0284761061918
3043,1569.9564,1072.188413515359
6696,6474.2392,5186.221265551836
6565,296.9468,370.63949268292686
2563,2127.8968,2000.869857109819
4824,5683.2688,3266.1894258397883
6335,2616.594,3253.4421237415763
6164,4866.998,2159.67016458436
6095,316.9208,380.95621954023
4972,355.5372,2000.869857109819
3535,2994.7684,3266.1894258397883
7490,607.2096,967.5658475961551
49,780.3176,547.8384224899601
7475,1685.8056,2013.9208841040438
380,5375.0034,5186.221265551836
7192,1267.0174,2000.869857109819
4773,3131.9232,3253.4421237415763
4088,1629.8784,1979.0922531304855
2849,6196.6006,4766.7601455
6750,3094.6384,3266.1894258397883
2488,3142.576,3253.4421237415763
3812,2972.1312,3216.211595179805
916,895.501,407.42048360655735
2539,5259.82,3266.1894258397883
541,231.6984,1016.0284761061918
7275,2922.1962,3151.416199286486
6192,922.7988,3151.416199286486
5373,3819.0288,3174.8977927327687
1657,75.9012,967.5658475961551
273,5829.7448,3266.1894258397883
7086,392.822,545.6702084905661
2337,61.2536,145.17739009009009
2607,3542.056,3253.4421237415763
3299,5396.9748,3266.1894258397883
2631,1510.0344,3266.1894258397883
3776,4349.0056,3253.4421237415763
4153,225.7062,565.7007386792451
4557,2162.5184,973.1757712732917
5378,1065.28,3266.1894258397883
6000,7393.0432,5186.221265551836
7564,802.9548,967.5658475961551
1035,2190.482,3163.4172616750325
8440,2960.1468,3216.211595179805
6539,3281.0624,4766.7601455
3434,3778.415,3151.416199286486
5233,3751.783,1979.0922531304855
4061,428.7752,283.7996977941177
44,373.5138,2000.869857109819
5022,120.5098,283.7996977941177
5085,2916.204,3266.1894258397883
3007,3439.5228,1043.1381229838696
7336,1830.95,3253.303462256807
2434,2006.7212,1898.0540490322594
2580,3629.2758,3161.4457401598784
4559,351.5424,406.67602020202025
5615,2375.5744,2380.091104974269
7019,2466.789,2013.9208841040438
4574,2303.668,2000.869857109819
4589,1543.3244,969.4715427872856
7801,2432.8332,3253.4421237415763
8255,2696.49,1979.0922531304855
7646,790.9704,967.5658475961551
6132,5438.9202,3266.1894258397883
5663,1174.4712,1979.0922531304855
3637,1166.4816,967.5658475961551
2966,143.8128,310.2796984771573
6577,761.6752,1979.0922531304855
6261,4288.4178,5186.221265551836
4083,1216.4166,5186.221265551836
4415,5219.872,3253.4421237415763
2643,5976.2208,3266.1894258397883
1132,1901.5248,3161.4457401598784
5686,856.8846,1979.0922531304855
7491,3175.866,3253.4421237415763
938,89.2172,250.33547360000028
7453,509.337,967.5658475961551
6510,3251.1014,3253.4421237415763
234,605.878,967.5658475961551
722,1780.3492,2000.869857109819
187,778.986,2013.9208841040438
3526,473.3838,967.5658475961551
4699,6831.108,3266.1894258397883
2793,1837.608,1016.0284761061918
6198,3214.4824,3253.4421237415763
2650,2524.0478,2443.667309938236
7761,1403.5064,1043.1381229838696
3112,886.8456,1979.0922531304855
635,5087.3778,5186.221265551836
7677,2045.3376,3266.1894258397883
4413,3900.9222,2380.091104974269
4937,3658.571,1979.0922531304855
5645,2077.296,3253.4421237415763
1034,75.9012,143.91417695473257
3326,3478.805,3253.4421237415763
1103,5350.3688,3253.4421237415763
6440,1113.2176,967.5658475961551
2578,2648.5524,2443.667309938236
394,3259.7568,3253.4421237415763
4994,2292.3494,3266.1894258397883
787,129.1652,145.17739009009009
2152,2348.9424,2000.869857109819
5105,1230.3984,1979.0922531304855
3379,727.0536,967.5658475961551
4800,488.6972,565.3762653465348
5276,2055.3246,1979.0922531304855
6608,691.1004,2000.869857109819
7114,3174.5344,3253.4421237415763
6423,569.259,3253.4421237415763
5840,1446.1176,2000.869857109819
3766,5267.8096,3266.1894258397883
5575,885.514,1861.7862468688863
3779,3563.3616,3130.0716236311155
5977,8474.3024,5186.221265551836
7052,3675.216,3266.1894258397883
1082,1584.604,2000.869857109819
7917,743.0328,1043.1381229838696
5836,3271.7412,3266.1894258397883
