,y_test,prediction
4931,1426.1436,2480.161186552652
4148,1201.769,1776.1219568703607
7423,1836.2764,2183.7770985722
4836,2410.8618,2179.0301713776685
944,1549.9824,2755.763098021398
154,3169.208,3639.1060033575977
7230,2036.6822,2419.893591888089
3472,824.9262,1883.586737216506
2294,378.1744,566.6850767123282
2588,1573.9512,1857.0394114741885
2087,2474.7786,1849.2866287756058
7318,101.8674,403.37907641883385
6126,894.8352,1563.6486313023556
4164,1491.392,2418.3356489150574
6572,1390.1904,1975.5171732165077
693,1707.777,1416.1941668314403
1270,1853.5872,2484.9088858187583
5893,2404.8696,2925.575146636326
1624,5528.1374,3904.9795134416017
5223,12117.56,5886.866870208918
2972,4767.128,3915.5284656881195
6814,185.7582,614.2362274817706
1555,187.0898,566.6744540570417
8275,772.328,1693.6687787561227
3760,1324.2762,2350.1323038850887
3161,2036.6822,1650.3963172092542
5225,6574.775,5959.478960356214
1570,5285.1204,3937.5426736839886
4285,773.6596,915.2643321493482
1835,6615.3888,3556.655939081674
4266,1022.6688,1298.3732356857909
2740,2797.6916,4192.996435556084
4312,3099.9648,2830.757923666918
2379,1720.4272,3439.0593397081675
821,3338.3212,2507.8412056149305
5862,1061.951,589.9985385032564
5108,4567.388,4091.102423949241
7149,6474.2392,6142.450878266652
2060,1145.176,2008.8457003779454
1571,2804.3496,1636.8104992572453
3879,945.436,1352.6464708739597
1889,1255.033,1150.0021464130512
528,5206.556,3971.5960772144526
7060,5842.395,3614.214141858382
5845,3379.6008,2994.0329749415987
5860,477.3786,374.97841026459406
4861,113.8518,320.5697745983224
1824,992.042,478.23133997634176
1098,5259.82,4655.308150882805
5530,1704.448,1410.1558581432625
1921,117.8466,435.6121143824387
8517,3608.636,2807.351325745749
4908,729.051,591.1356002461822
2006,2422.1804,2208.904757786206
98,4363.6532,3780.4467695332637
7140,753.0198,709.1603336409067
1003,713.0718,682.6555269772496
3162,683.1108,631.3494087197031
4376,195.7452,245.70428342712057
3930,3159.8868,3851.4977009104778
5973,1348.245,1586.4875733685142
4276,1803.6522,1264.9282348311588
6789,5932.278,2562.7523467477545
8116,71.9064,100.98594658297033
2030,2270.378,1664.5034927515849
3484,303.6048,358.34659753090665
233,2603.278,2592.1489837078
4511,5773.1518,3129.2314036690373
852,2691.8294,3696.4373020095227
1364,476.047,653.8906863238877
257,193.082,1589.4364912328126
5809,2460.7968,1577.8683861707837
3810,121.8414,301.7136380708517
379,4274.436,3629.9035088041487
7273,412.796,406.9687721568518
6787,4625.9784,4274.3456102121645
2645,3006.087,2173.6881928694106
1589,4950.8888,3857.9220843034177
5198,529.311,2675.274659198228
3909,2184.4898,1727.4182164106007
8236,510.0028,955.3726481053307
888,2620.5888,2751.4808886517426
5175,981.3892,720.6511771806422
1580,319.584,697.3170296277901
4109,2297.01,2341.41441270045
4238,1018.674,677.4480623996856
140,1402.1748,2692.0398401533944
6770,3942.8676,3082.5173494826968
4098,1182.4608,3173.757862883459
4394,937.4464,3506.7666381075765
543,1398.18,2064.706507792781
3412,1168.479,1072.4186053260114
3043,1569.9564,1198.5506887740084
6696,6474.2392,6175.9520114500165
6565,296.9468,341.246587324262
2563,2127.8968,3382.0591458363633
4824,5683.2688,3864.389234493188
6335,2616.594,2481.572016869356
6164,4866.998,2542.4580863113433
6095,316.9208,316.2101153068089
4972,355.5372,1622.0994487749795
3535,2994.7684,3637.7416214018535
7490,607.2096,585.7133715868412
49,780.3176,518.0568863095574
7475,1685.8056,2081.4485499678576
380,5375.0034,6028.852299446724
7192,1267.0174,1576.2225199167044
4773,3131.9232,3263.190277913089
4088,1629.8784,1456.5465721633414
2849,6196.6006,3782.211997870922
6750,3094.6384,3737.544667152185
2488,3142.576,3120.2801841183496
3812,2972.1312,2761.3995753371473
916,895.501,514.1875704812256
2539,5259.82,3614.5510140780625
541,231.6984,1368.8203676615906
7275,2922.1962,2233.6205652996027
6192,922.7988,2535.5342490462235
5373,3819.0288,2562.291583978634
1657,75.9012,392.10955449000033
273,5829.7448,3533.3875729821875
7086,392.822,488.06876801706306
2337,61.2536,122.36127683177264
