,y_test,prediction
4931,1426.1436,2336.499624990813
4148,1201.769,2520.0131262847517
7423,1836.2764,2005.7446784810732
4836,2410.8618,2141.239247297454
944,1549.9824,2816.2009578573534
154,3169.208,3539.9646289853818
7230,2036.6822,2757.0750462569754
3472,824.9262,1747.49882172954
2294,378.1744,1410.2744660155868
2588,1573.9512,2506.7087103484064
2087,2474.7786,1596.6047063860751
7318,101.8674,1029.5557164541679
6126,894.8352,2208.116220341213
4164,1491.392,2726.5835820293814
6572,1390.1904,1789.0758966069106
693,1707.777,1301.633293786952
1270,1853.5872,2736.948039518176
5893,2404.8696,2631.9251409960452
1624,5528.1374,3517.954376206724
5223,12117.56,5326.387273965929
2972,4767.128,3439.8294496800595
6814,185.7582,1773.7930623746547
1555,187.0898,1494.3013331567304
8275,772.328,1169.337981520122
3760,1324.2762,2819.74291156035
3161,2036.6822,1451.9073736978035
5225,6574.775,5587.168326671852
1570,5285.1204,4347.359358962043
4285,773.6596,1226.2641445740796
1835,6615.3888,3637.6767556620352
4266,1022.6688,1390.8161924034296
2740,2797.6916,4294.95449751301
4312,3099.9648,3477.0508028702325
2379,1720.4272,3210.443416732095
821,3338.3212,1843.440777983452
5862,1061.951,2107.423212653751
5108,4567.388,4034.8602625042786
7149,6474.2392,5301.706473178491
2060,1145.176,1721.0260144842725
1571,2804.3496,1477.588836451543
3879,945.436,1902.1918388283682
1889,1255.033,2109.0167737418155
528,5206.556,3421.7164140920668
7060,5842.395,3537.3358445977674
5845,3379.6008,3313.550117834071
5860,477.3786,1461.5678180492064
4861,113.8518,600.4384678657827
1824,992.042,1489.0021805287915
1098,5259.82,4058.7905733671423
5530,1704.448,2138.6384708537926
1921,117.8466,212.6932894243448
8517,3608.636,2751.0253999299675
4908,729.051,1343.8165864948178
2006,2422.1804,2104.04218838543
98,4363.6532,3816.9555061599785
7140,753.0198,1364.5017532024458
1003,713.0718,3.3002129342467015
3162,683.1108,421.9037426584207
4376,195.7452,46.09223214836311
3930,3159.8868,3506.1971030044506
5973,1348.245,964.4286577133248
