,y_test,prediction
4931,1426.1436,2523.423184066382
4148,1201.769,1288.8624726610544
7423,1836.2764,2063.4811584112995
4836,2410.8618,2149.7963865630595
944,1549.9824,3001.871326401777
154,3169.208,3950.6160293862504
7230,2036.6822,2610.153834802513
3472,824.9262,1895.450239450602
2294,378.1744,514.1747928343874
2588,1573.9512,2070.8808027262976
2087,2474.7786,1888.214538329891
7318,101.8674,653.5927795883736
6126,894.8352,1729.5142863875099
4164,1491.392,2421.1446191615405
6572,1390.1904,1879.8057194840467
693,1707.777,1447.4572005277453
1270,1853.5872,2444.3704654464154
5893,2404.8696,2868.3467217874113
1624,5528.1374,3793.8314118000835
5223,12117.56,5705.078003711821
2972,4767.128,3772.0860406336496
6814,185.7582,472.86588557033093
1555,187.0898,505.34184490235054
8275,772.328,1563.2069952201782
3760,1324.2762,2418.1493823651645
3161,2036.6822,1614.4362934164392
5225,6574.775,5705.078003711821
1570,5285.1204,4005.213572356737
4285,773.6596,1030.5710613469012
1835,6615.3888,3892.4958211390103
4266,1022.6688,1464.3157734153094
2740,2797.6916,4029.537701918259
4312,3099.9648,2984.617818050531
2379,1720.4272,3726.8472072233476
821,3338.3212,2307.6203461223854
5862,1061.951,557.2980481498205
5108,4567.388,4383.4299525921515
7149,6474.2392,5705.078003711821
2060,1145.176,1885.811579761746
1571,2804.3496,1614.4362934164392
3879,945.436,1560.8767882959075
1889,1255.033,685.1245935110942
528,5206.556,3787.1068776898665
7060,5842.395,3893.5498946624593
5845,3379.6008,3011.5874986631165
5860,477.3786,376.74795334185814
4861,113.8518,276.1674127789464
1824,992.042,554.4973186529371
1098,5259.82,4049.362896916964
5530,1704.448,1609.3541937860384
1921,117.8466,277.0394204764836
8517,3608.636,2916.1678038649766
4908,729.051,765.4669995510751
2006,2422.1804,2106.307196257912
98,4363.6532,3861.581485503182
7140,753.0198,1026.3604366933785
1003,713.0718,641.9078494293041
3162,683.1108,659.9758891318634
4376,195.7452,244.90824784519123
3930,3159.8868,3917.654562482343
5973,1348.245,1476.7490386200477
4276,1803.6522,1532.779099053848
6789,5932.278,2907.279834674925
8116,71.9064,166.93182715444763
2030,2270.378,1598.2281683967292
3484,303.6048,369.53289070673986
233,2603.278,2429.2364365686108
4511,5773.1518,3028.258605370784
852,2691.8294,3779.0627682782274
1364,476.047,660.2963582567369
257,193.082,1578.8341865798343
5809,2460.7968,1590.109933651519
3810,121.8414,281.4827225965744
379,4274.436,3872.342325529341
7273,412.796,264.24393498380596
6787,4625.9784,4046.58705297015
2645,3006.087,2126.9251160306358
1589,4950.8888,3917.429712114577
5198,529.311,2842.9487168091105
3909,2184.4898,2070.8808027262976
8236,510.0028,557.2980481498205
888,2620.5888,2648.4078241635225
5175,981.3892,757.120362305639
1580,319.584,1021.6548918884224
4109,2297.01,2435.6705911002164
4238,1018.674,1024.8901498787461
140,1402.1748,2433.8735433871507
6770,3942.8676,3009.3990935855395
4098,1182.4608,3010.9831211797214
4394,937.4464,3766.9108042906796
543,1398.18,2100.4811682252603
3412,1168.479,1359.8008779631814
3043,1569.9564,1463.1975071710951
6696,6474.2392,5705.078003711821
6565,296.9468,366.1532159692359
2563,2127.8968,2953.452150837816
4824,5683.2688,4049.362896916964
6335,2616.594,2873.754389453933
6164,4866.998,2343.1804098928633
6095,316.9208,377.10609574335285
4972,355.5372,1895.450239450602
3535,2994.7684,3857.456427616898
7490,607.2096,833.9278622983879
49,780.3176,546.4539556582654
7475,1685.8056,2106.307196257912
380,5375.0034,5705.078003711821
7192,1267.0174,1893.1464144352149
4773,3131.9232,3009.4114455454355
4088,1629.8784,1588.7445173251551
2849,6196.6006,3882.4473184083868
6750,3094.6384,3829.260397748436
2488,3142.576,3009.4114455454355
3812,2972.1312,2657.334709342047
916,895.501,420.01178957554544
2539,5259.82,3839.5160017286753
541,231.6984,1336.5234805608561
7275,2922.1962,2433.8735433871507
6192,922.7988,2433.8735433871507
5373,3819.0288,2489.7424161027793
1657,75.9012,654.8340803636969
273,5829.7448,4049.5237473249936
7086,392.822,546.4088725568608
2337,61.2536,206.74999692114622
2607,3542.056,3007.133954683543
3299,5396.9748,4073.6929871076823
2631,1510.0344,4007.508896277066
3776,4349.0056,3015.4084833873685
4153,225.7062,557.2529650484158
4557,2162.5184,1168.5386023871404
5378,1065.28,3827.4312714312687
6000,7393.0432,5705.078003711821
7564,802.9548,711.6065083354978
1035,2190.482,2465.7684567249066
8440,2960.1468,2637.513559677563
6539,3281.0624,3875.6422743673297
3434,3778.415,2433.8735433871507
5233,3751.783,1609.3541937860384
4061,428.7752,273.18342992736615
