,y_test,prediction
4931,1426.1436,2606.1448
4148,1201.769,1649.7365
7423,1836.2764,2060.39
4836,2410.8618,2042.697
944,1549.9824,2789.0771
154,3169.208,4011.5627
7230,2036.6822,2695.201
3472,824.9262,1935.6304
2294,378.1744,498.88626
2588,1573.9512,1953.3422
2087,2474.7786,1956.2076
7318,101.8674,600.0084
6126,894.8352,1682.4183
4164,1491.392,2458.8362
6572,1390.1904,1975.9087
693,1707.777,1421.3462
1270,1853.5872,2478.389
5893,2404.8696,2910.5369
1624,5528.1374,3770.2363
5223,12117.56,6087.068
2972,4767.128,3770.2363
6814,185.7582,533.58295
1555,187.0898,554.14294
8275,772.328,1594.8331
3760,1324.2762,2327.7356
3161,2036.6822,1615.5248
5225,6574.775,6064.7935
1570,5285.1204,4092.872
4285,773.6596,899.4075
1835,6615.3888,4035.9202
4266,1022.6688,1418.4834
2740,2797.6916,4092.872
4312,3099.9648,2849.9995
2379,1720.4272,3871.728
821,3338.3212,2310.0698
5862,1061.951,506.1199
5108,4567.388,4083.9927
7149,6474.2392,6207.9033
2060,1145.176,1946.728
1571,2804.3496,1616.6652
3879,945.436,1509.2208
1889,1255.033,973.8088
528,5206.556,3786.6382
7060,5842.395,3953.859
5845,3379.6008,2985.0088
5860,477.3786,462.41843
4861,113.8518,318.79865
1824,992.042,533.20215
1098,5259.82,4106.365
5530,1704.448,1539.8845
1921,117.8466,228.72932
8517,3608.636,2939.1594
4908,729.051,707.06177
2006,2422.1804,2039.6168
98,4363.6532,3679.3425
7140,753.0198,857.92444
1003,713.0718,645.67865
3162,683.1108,626.96313
4376,195.7452,177.09995
3930,3159.8868,4020.573
5973,1348.245,1441.4601
4276,1803.6522,1437.0671
6789,5932.278,2751.7441
8116,71.9064,84.4645
2030,2270.378,1606.7196
3484,303.6048,333.92047
233,2603.278,2462.6077
4511,5773.1518,3034.5483
852,2691.8294,3979.998
1364,476.047,646.0063
257,193.082,1595.3475
5809,2460.7968,1601.3575
3810,121.8414,312.26385
379,4274.436,4017.2517
7273,412.796,224.86789
6787,4625.9784,4098.4727
2645,3006.087,2040.2684
1589,4950.8888,4007.202
5198,529.311,2712.998
3909,2184.4898,2055.4946
8236,510.0028,615.9126
888,2620.5888,2659.4136
5175,981.3892,727.36584
1580,319.584,856.0931
4109,2297.01,2473.6653
4238,1018.674,856.0931
140,1402.1748,2464.1663
6770,3942.8676,2990.3396
4098,1182.4608,3003.288
4394,937.4464,3266.881
543,1398.18,2024.7625
3412,1168.479,1336.6779
3043,1569.9564,1418.5083
6696,6474.2392,6075.99
6565,296.9468,334.28772
2563,2127.8968,3465.5498
4824,5683.2688,4091.304
6335,2616.594,2896.655
6164,4866.998,2364.8267
6095,316.9208,344.28503
4972,355.5372,1874.7717
3535,2994.7684,3248.1072
7490,607.2096,743.3761
49,780.3176,522.021
7475,1685.8056,2043.2767
380,5375.0034,6147.9854
7192,1267.0174,1885.1228
4773,3131.9232,3004.5718
4088,1629.8784,1539.8845
2849,6196.6006,3699.222
6750,3094.6384,4007.202
2488,3142.576,3003.288
3812,2972.1312,2650.9512
916,895.501,378.51486
2539,5259.82,4002.1912
541,231.6984,1393.818
7275,2922.1962,2372.5583
6192,922.7988,2461.0713
5373,3819.0288,2586.1055
1657,75.9012,600.0084
273,5829.7448,4053.9653
7086,392.822,471.5825
2337,61.2536,175.79407
2607,3542.056,2994.8247
3299,5396.9748,4112.2676
2631,1510.0344,4092.872
3776,4349.0056,3004.5718
4153,225.7062,577.8522
4557,2162.5184,1149.1335
5378,1065.28,3978.4285
6000,7393.0432,6091.8945
7564,802.9548,660.50867
1035,2190.482,2537.2815
8440,2960.1468,2527.2854
6539,3281.0624,3700.8308
3434,3778.415,2460.6838
5233,3751.783,1616.6652
4061,428.7752,295.7196
44,373.5138,2008.7576
5022,120.5098,264.35483
5085,2916.204,4035.9202
3007,3439.5228,2262.7585
7336,1830.95,2618.7512
2434,2006.7212,1447.4064
2580,3629.2758,2545.1985
4559,351.5424,370.6532
5615,2375.5744,2479.9863
7019,2466.789,2020.1116
4574,2303.668,1939.7274
4589,1543.3244,933.5206
7801,2432.8332,2910.5369
8255,2696.49,1589.5602
7646,790.9704,645.67865
6132,5438.9202,3323.8005
5663,1174.4712,1588.5848
3637,1166.4816,740.2462
2966,143.8128,372.55078
6577,761.6752,1593.7081
6261,4288.4178,5870.2637
4083,1216.4166,5035.3755
4415,5219.872,2994.8247
2643,5976.2208,3281.201
1132,1901.5248,2526.379
5686,856.8846,1588.5848
7491,3175.866,2895.3713
938,89.2172,274.3119
7453,509.337,903.3938
6510,3251.1014,2910.5369
234,605.878,738.6508
722,1780.3492,1999.0991
187,778.986,2045.1471
3526,473.3838,771.95624
4699,6831.108,3998.5815
2793,1837.608,1397.2797
6198,3214.4824,2980.526
2650,2524.0478,2457.2776
7761,1403.5064,1401.825
3112,886.8456,1588.5848
635,5087.3778,5030.5234
7677,2045.3376,3975.5845
4413,3900.9222,2458.8362
4937,3658.571,1616.6652
5645,2077.296,3065.6587
1034,75.9012,100.82147
3326,3478.805,2998.8052
1103,5350.3688,2849.4202
6440,1113.2176,897.62067
2578,2648.5524,2472.1985
394,3259.7568,3003.288
4994,2292.3494,3967.7773
787,129.1652,189.85324
2152,2348.9424,2008.7451
5105,1230.3984,1616.6652
3379,727.0536,877.45197
4800,488.6972,553.53796
5276,2055.3246,1588.0703
6608,691.1004,1983.3765
7114,3174.5344,3003.288
6423,569.259,2849.9995
5840,1446.1176,1929.6172
3766,5267.8096,3773.2668
5575,885.514,1443.4274
3779,3563.3616,2343.0105
5977,8474.3024,6292.482
7052,3675.216,3270.438
1082,1584.604,1783.3716
7917,743.0328,1406.761
5836,3271.7412,3789.0854
3976,1592.5936,1786.6666
1783,2364.9216,2481.211
1414,3420.8804,6177.161
3724,5000.8238,4431.0054
5605,1607.907,3328.693
2509,2960.1468,2539.71
2067,1518.024,2478.6934
2774,1419.4856,1616.1506
6630,173.108,181.89847
1817,4410.2592,3004.5718
3805,2182.4924,3030.57
2081,392.822,579.4537
7551,3229.7958,3736.647
5173,2302.3364,2913.874
3714,5299.768,3833.6409
692,4974.1918,3791.7363
1235,3235.788,2622.0105
5770,2388.2246,2037.7659
642,3246.4408,2060.194
7419,2444.8176,2456.6128
3315,2956.152,2487.0657
3679,2695.1584,2002.6692
38,388.1614,1019.98096
7813,109.1912,169.41615
5155,354.2056,377.43515
8405,124.5046,271.11914
1180,2190.482,2480.553
1022,352.874,476.27036
7538,1817.634,2752.009
8284,197.0768,181.68575
7975,922.7988,1403.5466
1332,1957.452,2539.296
5873,2422.1804,2042.1364
2189,5243.8408,4049.2913
1386,3691.1952,2409.6357
147,1597.92,2626.8347
8244,3964.839,4106.365
7158,5592.72,4024.823
4520,2302.3364,1994.4712
3769,3567.3564,4909.995
5470,1791.6678,1331.3187
7898,790.9704,689.5908
8441,777.6544,1588.0703
4919,341.5554,1942.3291
196,992.7078,739.3256
5367,2596.62,2712.998
1456,351.5424,1434.6971
277,450.0808,1753.8218
1830,1468.089,650.51953
2172,697.7584,377.94254
3266,5752.512,4002.1912
1379,5816.4288,6240.579
4844,102.5332,222.19688
6799,459.402,4049.2913
7782,2345.6134,2946.7043
2843,2796.36,4049.2913
1283,1581.275,1007.3812
3375,352.874,429.32083
5739,2087.283,2870.204
5937,312.926,327.00586
3180,1524.0162,523.26056
7671,1078.596,647.5883
8210,3435.528,3248.1072
2417,3731.809,2996.1084
7299,3352.303,2909.2532
958,1973.4312,2740.0737
6956,2125.2336,1629.9127
3740,91.8804,89.90689
3079,497.3526,862.5972
5167,683.1108,1946.728
839,2857.6136,1588.0703
39,2180.495,2436.647
7852,1342.2528,1594.8331
4881,2792.3652,2494.7756
6258,2512.7292,1695.2828
7427,884.1824,516.852
3603,330.2368,492.34998
7648,1070.6064,1426.3909
462,1787.673,1983.2965
4065,1845.5976,2831.2456
982,384.8324,490.28506
6296,247.6776,233.03789
641,6611.394,3243.8499
454,2683.174,1420.1365
20,3775.086,3827.617
8401,1395.5168,1428.46
8283,1845.5976,1433.5214
3639,390.1588,493.39865
244,3225.1352,3927.1902
2984,1257.0304,2462.6077
6154,3874.956,3003.288
3978,882.8508,771.50757
4609,1049.9666,856.42084
6039,1757.712,1695.6451
882,300.9416,488.22296
3443,1150.5024,739.3256
7632,41.9454,85.4943
4967,3146.5708,3003.288
3634,1601.249,2021.5721
4060,5609.365,5774.814
651,229.701,89.5309
1852,874.8612,707.06177
162,3315.684,3232.0747
7043,992.7078,2055.6958
4240,1518.024,3003.288
6163,1957.452,2073.5098
5863,2387.5588,3203.397
304,7696.648,3728.487
4853,2852.2872,2589.6865
7311,1494.0552,1441.4601
7398,1494.0552,1413.3733
